,scores,col_id,col_name
0,0.046080561980858796,32,category_id: 24
1,-0.0009098509312658537,1,number_of_sessions
2,-0.0018978349553800886,24,category_id: 16
3,-0.0025848862305239903,78,category_id: 70
4,-0.010791253991142101,59,category_id: 51
5,-0.01445702047573397,28,category_id: 20
6,-0.014778595710157032,62,category_id: 54
7,-0.014896099438710458,30,category_id: 22
8,-0.01952009278327917,56,category_id: 48
9,-0.02296539292075934,20,category_id: 12
10,-0.028679087022249385,14,category_id: 6
11,-0.039270785216110646,19,category_id: 11
12,-0.04298545892923555,48,category_id: 40
13,-0.059346112408236416,18,category_id: 10
14,-0.06017702885324592,80,category_id: 72
15,-0.06200441959382228,22,category_id: 14
16,-0.06888315791323825,7,number_of_categories_for_session
17,-0.07067912509457981,52,category_id: 44
18,-0.0716368985271615,64,category_id: 56
19,-0.07799060634082114,9,category_id: 1
20,-0.08476645976158143,29,category_id: 21
21,-0.08703906210673108,45,category_id: 37
22,-0.0872581793606207,68,category_id: 60
23,-0.08747290161960511,26,category_id: 18
24,-0.08878831378177321,69,category_id: 61
25,-0.08966090618688699,37,category_id: 29
26,-0.09104790618518327,2,number_of_item_per_session
27,-0.096776206508133,74,category_id: 66
28,-0.1071590133802874,65,category_id: 57
29,-0.10742420342995089,61,category_id: 53
30,-0.11078404736894902,38,category_id: 30
31,-0.11256984171902952,63,category_id: 55
32,-0.12070291434632902,58,category_id: 50
33,-0.1247861940603879,36,category_id: 28
34,-0.12961145431454987,67,category_id: 59
35,-0.1327123366341475,8,number_of_values_for_session
36,-0.13452837887908914,46,category_id: 38
37,-0.13536024259787519,76,category_id: 68
38,-0.13880857497619697,0,item_id
39,-0.14008704343747386,49,category_id: 41
40,-0.140161786505791,3,number_of_items
41,-0.14253147261124235,16,category_id: 8
42,-0.1533579704862678,41,category_id: 33
43,-0.15407606802643747,50,category_id: 42
44,-0.1564641681379042,42,category_id: 34
45,-0.15717340630407728,4,number_of_session_per_item
46,-0.1578938904137676,33,category_id: 25
47,-0.1630079671580972,70,category_id: 62
48,-0.16539920789428722,15,category_id: 7
49,-0.1694944352876581,27,category_id: 19
50,-0.1712270205956037,12,category_id: 4
51,-0.17791933675937727,77,category_id: 69
52,-0.18353981492232757,23,category_id: 15
53,-0.1844421896155953,66,category_id: 58
54,-0.19080613046103323,81,category_id: 73
55,-0.19627043582048603,6,number_of_values
56,-0.20427371218470516,55,category_id: 47
57,-0.21163440941875172,5,number_of_categories
58,-0.22079915439369333,73,category_id: 65
59,-0.22328567673730293,75,category_id: 67
60,-0.22684752527592947,34,category_id: 26
61,-0.23752923366616513,57,category_id: 49
62,-0.24156006967097432,40,category_id: 32
63,-0.24570922537500223,71,category_id: 63
64,-0.25593092026606584,31,category_id: 23
65,-0.2603955349261858,25,category_id: 17
66,-0.26806847945054585,10,category_id: 2
67,-0.2707789620524742,53,category_id: 45
68,-0.2785705663017494,47,category_id: 39
69,-0.2812425308455576,11,category_id: 3
70,-0.28847047769971484,39,category_id: 31
71,-0.2909197462672386,13,category_id: 5
72,-0.2979138379913578,44,category_id: 36
73,-0.29857474892439817,54,category_id: 46
